ADAK IS.             AK US 184.35 142.88    4 ADK 0
ANCHORAGE            AK US 210.98 152.17   40 ANC 1
ANIAK                AK US 201.47 152.58   26 ANI 0
ANNETTE IS.          AK US 229.43 146.03   34 ANN 0
BARROW               AK US 204.22 162.30    4 BRW 0
BARTER IS.           AK US 217.37 161.13   15 BTI 0
BETHEL               AK US 199.20 151.78   46 BET 0
BETTLES              AK US 209.48 157.92  196 BTT 0
BIG DELTA            AK US 215.27 155.00  389 BIG 0
CAPE LISBURNE AFS    AK US 194.87 159.88    3 PAL 0
COLD BAY             AK US 198.28 146.20   31 CDB 0
CORDOVA              AK US 215.50 151.50   13 CDV 0
C.ROMANZOFF AFS      AK US 194.97 152.78  146 PAC 0
DEADHORSE            AK US 212.53 161.20   18 SCC 0
DILLINGHAM           AK US 202.48 150.05   29 DLG 0
DUTCH HARBOR         AK US 194.47 144.90    4 DUT 0
FAIRBANKS            AK US 213.13 155.82  138 FAI 0
FT. YUKON            AK US 215.80 157.55  127 FYU 0
GALENA               AK US 204.07 155.73   49 PAG 0
GAMBELL              AK US 189.25 154.78    8 GAM 0
GULKANA              AK US 215.55 153.15  482 GKN 0
GUSTAVAS             AK US 225.27 149.42    9 GST 0
HAINES               AK US 225.57 150.23    9 Z26 0
HOMER                AK US 209.50 150.63   22 HOM 0
ILIAMNA              AK US 206.08 150.75   49 ILI 0
INDIAN MTN AFS       AK US 207.30 157.00  389 PAI 0 
JUNEAU               AK US 226.42 149.37    7 JNU 0
KENAI                AK US 209.75 151.57   29 ENA 0
KETCHIKAN            AK US 229.30 146.35   28 KTN 0
KING SALMON          AK US 204.35 149.68   15 AKN 0
KODIAK               AK US 208.48 148.75   34 DQ  0
KOTZEBUE             AK US 198.37 157.87    5 OTZ 0
MCGRATH              AK US 205.38 153.97  103 MCG 0
MCKINLEY PARK        AK US 212.08 154.73  524 5MK 0
MERRILL FLD APRT     AK US 211.17 152.22   41 MRI 0
MIDDLETON            AK US 214.67 150.43   14 MDO 0
NENANA               AK US 211.92 155.55  112 ENN 0
NOME                 AK US 195.57 155.50    7 OME 0
NORTHWAY             AK US 219.07 153.95  525 ORT 0
PALMER               AK US 211.92 152.60   73 PAQ 0
PETERSBURG           AK US 228.05 147.82    2 PSG 0
PORT HEIDEN          AK US 202.38 147.95   29 PTH 0
PRUDHOE BAY          AK US 212.67 161.25   12 PUO 0
SAINT PAUL           AK US 190.78 148.15    9 SNP 0
SEWARD               AK US 211.55 151.12   18 5WD 0
SHEMYA AFB           AK US 186.90 143.72   39 PAS 0
SITKA                AK US 225.65 148.07   20 SIT 0
SKAGWAY              AK US 225.68 150.45    5 SGY 0
SPARREVOHN AFS       AK US 205.43 152.10  484 PAS 0
TALKEETNA            AK US 210.90 153.30  109 TKA 0
TANANA               AK US 208.90 156.17   67 PAT 0
TANANA               AK US 208.90 156.17   67 TAL 0
UNALAKLEET           AK US 200.20 154.88    6 UNK 0
VALDEZ               AK US 214.65 152.13    9 VWS 0
VALDEZ               AK US 214.75 152.13   34 VDZ 0
WHITTIER             AK US 212.32 151.77   47 5WT 0
WRANGELL             AK US 228.62 147.47   11 WRG 0
YAKUTAT              AK US 221.33 150.52    9 YAK 0
ANNISTON             AL US 275.15 124.58  185 ANB 0
BIRMINGHAM           AL US 274.25 124.57  192 BHM 0
CENTREVILLE          AL US 273.75 123.90  140 CKL 0
DOTHAN               AL US 275.55 122.32  122 DHN 0
FT.RUCKER            AL US 275.28 122.27   93 OZR 0
HUNTSVILLE           AL US 274.23 125.65  196 HSV 0
MAXWELL AFB          AL US 274.63 123.38   52 MXF 0
MOBILE               AL US 272.75 121.68   67 MOB 1
MONTGOMERY           AL US 274.60 123.30   62 MGM 0
MUSCLE SHOALS        AL US 273.38 125.75  168 MSL 0
SELMA                AL US 274.02 123.33   50 SEM 0
TUSCALOOSA           AL US 273.38 124.23   51 TCL 0
BLYTHEVILLE AFB      AR US 271.05 126.97   78 BYH 0
EL DORADO            AR US 268.20 124.22   87 ELD 0
FAYETTEVILLE         AR US 266.83 127.00  381 FYV 0
FORT SMITH           AR US 266.63 126.33  141 FSM 0
HARRISON             AR US 267.85 127.27  422 HRO 0
HOT SPRINGS          AR US 267.90 125.48  169 HOT 0
JONESBORO            AR US 270.35 126.83   84 JBR 0
LITTLE ROCK          AR US 268.77 125.73   78 LIT 1
LITTLE ROCK AFB      AR US 268.85 125.92   95 LRF 0
PINE BLUFF           AR US 269.07 125.17   65 PBF 0
TEXARKANA            AR US 267.00 124.45  122 TXK 0
CHANDLER/WMS AFB     AZ US 249.33 124.30  422 IWA 0
DAVIS-MONTHAN AFB    AZ US 250.12 123.17  824 DMA 0
DOUGLAS              AZ US 251.40 122.45 1268 DUG 0
FLAGSTAFF            AZ US 249.33 126.13 2140 FLG 0
FT HUACHUCA          AZ US 250.67 122.58 1429 FHU 0
GILA BEND            AZ US 248.30 123.93  264 GBN 0
KINGMAN              AZ US 247.05 126.27 1034 IGM 0
LUKE AFB             AZ US 248.63 124.55  336 LUF 0
PAGE                 AZ US 249.55 127.93 1305 PGA 0
PHOENIX              AZ US 248.98 124.43  338 PHX 1
PRESCOTT             AZ US 248.57 125.65 1541 PRC 0
SAFFORD              AZ US 251.32 123.82  901 E74 0
TUCSON               AZ US 250.07 123.12  779 TUS 0 
WINSLOW              AZ US 250.27 126.02 1489 INW 0
YUMA                 AZ US 246.40 123.67   63 YUM 0
ALAMEDA NAS          CA US 238.68 128.78    9 NGZ 0
ARCATA               CA US 236.90 131.98   69 ACV 0
BAKERSFIELD          CA US 241.95 126.42  150 BFL 0
BEALE AFB            CA US 239.57 130.13   34 BAB 0
BISHOP               CA US 242.63 128.37 1264 BIH 0
BLUE CANYON          CA US 240.30 130.28 1612 BLU 0
BLYTHE               CA US 246.28 124.62  121 BLH 0
BURBANK              CA US 242.63 125.20  236 BUR 0
CAMP PENDLETON       CA US 243.65 124.30   19 NFG 0
CASTLE AFB           CA US 240.43 128.37   57 MER 0
CHINA LAKE NAS       CA US 243.32 126.68  696 NID 0
CROWS LANDING NAS    CA US 239.90 128.40   50 NRC 0
CUDDEBACK AFR        CA US 243.67 126.33  865 NC1 0
DAGGETT              CA US 244.22 125.87  588 DAG 0
EDWARDS AFB          CA US 243.13 125.90  702 EDW 0
EL TORO MCAS         CA US 243.27 124.67  117 NZJ 0
EUREKA               CA US 236.83 131.80   18 EKA 0
FORT ORD             CA US 239.23 127.68   41 OAR 0
FRESNO               CA US 241.28 127.77  100 FAT 0
GEORGE AFB           CA US 243.62 125.58  877 VCV 0
IMPERIAL             CA US 245.43 123.83  -17 IPL 0
IMPERIAL BCH. NAS    CA US 243.88 123.57    8 NRS 0
LANCASTER            CA US 242.78 125.73  716 WJF 0
LEMOORE NAS          CA US 241.05 127.33   73 NLC 0
LONG BEACH           CA US 242.85 124.82   12 LGB 0
LONG BEACH NAS       CA US 242.77 124.75    4 NWF 0
LOS ANGELES          CA US 242.60 124.93   32 LAX 1
MARCH AFB            CA US 243.75 124.90  468 RIV 0
MATHER AFB           CA US 239.70 129.57   29 MHR 0
MCCLELLAN AFB        CA US 239.60 129.67   23 MCC 0
MIRAMAR NAS          CA US 243.85 123.87  147 NKX 0
MONTEREY             CA US 239.15 127.58   67 MRY 0
MOUNTAIN VIEW NAS    CA US 238.95 128.42   12 NUQ 0
MT SHASTA            CA US 238.68 132.32 1081 MHS 0
NEEDLES              CA US 246.38 125.77  302 EED 0
NORTH ISLAND NAS     CA US 243.80 123.70    7 NZY 0
OAKLAND              CA US 238.80 128.73    2 OAK 0
ONTARIO              CA US 243.38 125.05  293 ONT 0
PALM SPRINGS         CA US 244.50 124.83  146 PSP 0
PASO ROBLES          CA US 240.37 126.67  249 PRB 0
POINT MUGU NAS       CA US 241.88 125.12    4 NTD 0
POMONA               CA US 243.25 125.05  263 POM 0
RED BLUFF            CA US 238.75 131.15  108 RBL 0
REDDING              CA US 238.70 131.50  152 RDD 0
SACRAMENTO           CA US 239.50 129.52    8 SAC 0
SALINAS              CA US 239.40 127.67   23 SNS 0
SAN BERNARDINO       CA US 243.77 125.10  352 SBD 0
SAN CLEM.ISL.NAS     CA US 242.42 124.02   55 NUC 0
SAN DIEGO            CA US 243.83 123.73    9 SAN 0
SAN FRANCISCO        CA US 238.62 128.62    5 SFO 1
SAN JOSE             CA US 239.08 128.37   17 SJC 0
SAN LUIS OBISPO      CA US 240.37 126.23   63 SBP 0
SAN NICOLAS I.NAS    CA US 241.55 124.25  174 NSI 0
SANTA ANA            CA US 243.12 124.67   16 SNA 0
SANTA ANA MCAS       CA US 243.17 124.70   18 NTK 0
SANTA BARBARA        CA US 241.17 125.43    6 SBA 0
SANTA MARIA          CA US 240.55 125.90   73 SMX 0
SANTA ROSA           CA US 238.18 129.52   45 STS 0
SOUTH LAKE TAHOE     CA US 241.00 129.90 1913 TVL 0
STOCKTON             CA US 239.75 128.90    8 SCK 0
THERMAL              CA US 244.83 124.63  -34 TRM 0
TRAVIS AFB           CA US 239.07 129.27   19 SUU 0
TRUCKEE              CA US 240.87 130.32 1799 TRK 0
UKIAH                CA US 237.80 130.13  189 UKI 0
VAN NUYS             CA US 242.52 125.22  244 VNY 0
VANDERBERG AFB       CA US 240.43 125.72  121 VBG 0
AKRON                CO US 257.78 131.17 1432 AKO 0
ALAMOSA              CO US 255.13 128.45 2300 ALS 0
BOULDER              CO US 255.75 131.02 1635 1V5 0
BUCKLEY ANGB APRT    CO US 256.25 130.70 1727 BKF 0
COLORADO SPRINGS     CO US 256.28 129.82 1882 COS 0
CORTEZ               CO US 252.37 128.30 1804 CEZ 0
CRAIG                CO US 253.47 131.50 1888 CAG 0
DENVER               CO US 256.13 130.75 1626 DEN 1
DILLON               CO US 254.97 130.63 2766 DLL 0
EAGLE                CO US 254.08 130.65 1986 EGE 0
FORT CARSON          CO US 256.23 129.68 1780 FCS 0
FT CARSON AFR        CO US 256.17 129.50 1790 MC2 0
GLENWOOD SPRINGS     CO US 253.68 130.57 1754 GLW 0
GRAND JUNCTION       CO US 252.47 130.12 1476 GJT 0
LA JUNTA             CO US 257.48 129.05 1286 LHX 0
LAMAR                CO US 258.40 129.12 1104 4LJ 0
LEADVILLE            CO US 254.70 130.25 3098 LXV 0
LIMON                CO US 257.30 130.18 1696 LIC 0
OURAY                CO US 253.33 129.02 2391 OUR 0
PUEBLO               CO US 256.48 129.28 1440 PUB 0
RIFLE                CO US 253.20 130.53 1647 1V1 0
STEAMBOAT SPRINGS    CO US 254.13 131.52 2098 SBS 0
TAYLOR PARK          CO US 254.38 129.82 2808 CRB 0
TRINIDAD             CO US 256.67 128.25 1753 TAD 0
USAF ACADEMY         CO US 256.18 129.97 2001 AFF 0
VALLECITO DAM        CO US 253.42 128.37 2333 VLR 0
BRIDGEPORT           CT US 287.87 132.17    5 BDR 0
DANBURY              CT US 287.52 132.37  139 DXR 0
GROTON               CT US 288.95 132.33    6 GON 0
HARTFORD             CT US 288.32 132.93   55 BDL 1
NEW HAVEN            CT US 288.12 132.27    4 HVN 0
WASHINGTON           DC US 283.97 129.85   20 DCA 1 
DOVER                DE US 285.53 130.13    9 DOV 1
WILMINGTON           DE US 285.40 130.67   24 ILG 0
APALACHICOLA         FL US 275.97 120.73    6 AQQ 0
AVON PARK GUN RNG    FL US 279.67 118.65   20 AGR 0
CROSS CITY           FL US 277.90 120.62   13 CTY 0
C.CANAVERAL AFS      FL US 280.32 119.60    3 X68 0
DAYTONA BEACH        FL US 279.95 120.18   13 DAB 0
EGLIN 52 AFR         FL US 274.67 121.50   48 DP1 0
EGLIN AFB            FL US 274.48 121.48   26 VPS 0
FORT LAUDERDALE      FL US 280.85 117.07    3 FLL 0
FT. MYERS            FL US 279.13 117.58    4 FMY 0
GAINSVILLE           FL US 278.73 120.68   50 GNV 0
HOMESTEAD AFB        FL US 280.62 116.48    2 HST 0
HURLBURT FLD         FL US 274.70 121.52   27 HRT 0
JACKSONVILLE         FL US 279.30 121.50    9 JAX 1
JACKSONVILLE NAS     FL US 279.32 121.23    7 NIP 0
JACKSONVILLE NAS     FL US 279.12 121.22   24 NZC 0
KEY WEST             FL US 279.25 115.55    6 EYW 0
KEY WEST NAS         FL US 279.32 115.57    2 NQX 0
LAKELAND APT         FL US 278.95 119.00   56 LAL 0
MAC DILL AFB         FL US 278.50 118.85    4 MCF 0
MAYPORT NAS          FL US 279.58 121.40    6 NRB 0
MELBOURNE            FL US 280.37 119.10   10 MLB 0
MIAMI                FL US 280.72 116.82    4 MIA 1
MILTON NAS           FL US 273.98 121.72   61 NSE 0
ORLANDO INTL         FL US 279.68 119.43   32 MCO 0
PANAMA CITY          FL US 275.32 121.20    6 PFN 0
PATRICK AFB          FL US 280.40 119.23    3 COF 0
PENSACOLA            FL US 273.80 121.47   36 PNS 0
PENSACOLA NAS        FL US 273.68 121.35    9 NPA 0
SARASOTA-BRADENTO    FL US 278.45 118.40    7 SRQ 0
SARASOTA TACR        FL US 277.25 117.75    0 T04 0
TALLAHASSEE          FL US 276.63 121.38   21 TLH 0
TAMPA                FL US 278.47 118.97    3 TPA 1
TYNDALL AFB          FL US 275.42 121.07    5 PAM 0
VERO BEACH           FL US 280.58 118.65    7 VRB 0
WEST PALM BEACH      FL US 280.88 117.68    6 PBI 0
ALBANY               GA US 276.82 122.53   60 ABY 0
ALMA                 GA US 278.48 122.53   63 AMG 0
ATHENS               GA US 277.68 124.95  245 AHN 0
ATLANTA              GA US 276.57 124.65  315 ATL 1
AUGUSTA              GA US 279.03 124.37   45 AGS 0
BRUNSWICK            GA US 279.62 122.15    6 SSI 0
COLUMBUS             GA US 276.07 123.52  120 CSG 0
DOBBINS AFB          GA US 276.48 124.92  326 MGE 0
FORT STEWART         GA US 279.43 122.88   14 LHW 0
HUNTER AFB           GA US 279.87 123.02   13 SVN 0
LAWSON AFB           GA US 276.00 123.33   71 LSF 0
MACON                GA US 277.35 123.70  110 MCN 0
MOODY AFB            GA US 277.80 121.97   71 VAD 0
ROBINS AFB           GA US 277.40 123.63   90 WRB 0
ROME                 GA US 275.83 125.35  196 RMG 0
SAVANNAH             GA US 279.80 123.13   16 SAV 0
VALDOSTA             GA US 277.72 121.78   68 VLD 0
WAYCROSS             GA US 278.60 122.25   44 AYS 0
HONOLULU             HI US 203.07 112.35    5 HNL 1
BURLINGTON           IA US 269.88 131.78  214 BRL 0
CEDAR RAPIDS         IA US 269.30 132.88  265 CID 0
DES MOINES           IA US 267.35 132.53  294 DSM 1
DUBUQUE              IA US 270.30 133.40  329 DBQ 0
FT DODGE             IA US 266.82 133.55  355 FOD 0
LAMONI               IA US 267.07 131.62  342 3OI 0
MASON CITY           IA US 267.67 134.15  374 MCW 0
OTTUMWA              IA US 268.55 132.10  258 OTM 0
SIOUX CITY           IA US 264.62 133.40  336 SUX 0
SPENCER              IA US 265.85 134.17  408 3SE 0
WATERLOO             IA US 268.60 133.55  268 ALO 0
BOISE                ID US 244.78 134.57  875 BOI 1
BURLEY               ID US 247.23 133.53 1268 BYI 0
CHALLIS              ID US 246.78 135.52 1578 U15 0
ELK CITY             ID US 245.57 136.82 1250 P69 0
GRACE                ID US 249.27 133.58 1693 GRC 0
HAILEY               ID US 246.70 134.50 1621 SUN 0
IDAHO FALLS          ID US 248.93 134.52 1447 IDA 0
LEWISTON             ID US 243.98 137.38  438 LWS 0
MALAD CITY           ID US 248.68 133.17 1374 MLD 0
MCCALL               ID US 244.90 135.88 1533 MYL 0
MOUNTAIN HOME AFB    ID US 245.13 134.05  913 MUO 0
POCATELLO            ID US 248.40 133.92 1366 PIH 0
SAYLOR CREEK AFR     ID US 245.50 133.50 1109 MI1 0
TWIN FALLS           ID US 246.52 133.48 1266 TWF 0
CAIRO                IL US 271.83 128.00  109 CIR 0
CARBONDALE           IL US 271.75 128.78  124 MDH 0
CHAMPAIGN            IL US 272.72 131.03  230 CMI 0
CHICAGO-MDWAYAMOS    IL US 273.25 132.78  190 MDW 0
CHICAGO              IL US 273.10 132.98  206 ORD 1
DECATUR              IL US 272.13 130.83  207 DEC 0
GLENVIEW NAS         IL US 273.18 133.08  199 NBU 0
MARION               IL US 272.00 128.75  144 MWA 0
MARSEILLES           IL US 272.32 132.37  223 MMO 0
MATTOON              IL US 272.72 130.48  220 MTO 0
MOLINE               IL US 270.48 132.45  181 MLI 0
PEORIA               IL US 271.32 131.67  202 PIA 0
QUINCY               IL US 269.80 130.93  234 UIN 0
ROCKFORD             IL US 271.90 133.20  224 RFD 0
